id,text,source,date
1,"The Indian government has launched the PM Surya Ghar: Muft Bijli Yojana to provide free electricity to 1 crore households.",PIB,2024-02-15
2,"India's GDP growth rate for Q3 FY24 was 8.4%.",MOSPI,2024-02-29
3,"The Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme provides Rs. 6000 per year to eligible farmer families.",PM-KISAN Portal,2019-02-24
4,"The Reserve Bank of India has kept the repo rate unchanged at 6.5% in its February 2024 monetary policy meeting.",RBI,2024-02-08
5,"Ayushman Bharat Pradhan Mantri Jan Arogya Yojana provides health cover of Rs. 5 lakhs per family per year.",NHA,2018-09-23
6,"India's foreign exchange reserves reached an all-time high of $642.49 billion in March 2024.",RBI,2024-03-22
7,"The Unified Payments Interface (UPI) processed over 13 billion transactions in March 2024.",NPCI,2024-04-01
8,"The Indian Space Research Organisation (ISRO) successfully launched the Aditya-L1 mission to study the Sun.",ISRO,2023-09-02
9,"The Women's Reservation Bill 2023 reserves 33% of seats in the Lok Sabha and State Legislative Assemblies for women.",Parliament of India,2023-09-21
10,"India is the world's most populous country with a population of over 1.4 billion.",UN,2023-04-24
11,"The Goods and Services Tax (GST) collection for March 2024 was Rs. 1.78 lakh crore.",Ministry of Finance,2024-04-01
12,"The Atal Tunnel is the world's longest highway tunnel above 10,000 feet.",BRO,2020-10-03
13,"India's literacy rate is approximately 77.7% as per the NSO report.",NSO,2020-09-08
14,"The Make in India initiative was launched to encourage companies to manufacture their products in India.",Govt of India,2014-09-25
15,"The Digital India programme aims to transform India into a digitally empowered society and knowledge economy.",Govt of India,2015-07-01
16,"The Swachh Bharat Abhiyan aims to achieve a Clean India by 2019.",Govt of India,2014-10-02
17,"The National Education Policy 2020 proposes a 5+3+3+4 curricular structure.",Ministry of Education,2020-07-29
18,"The Startup India initiative aims to build a strong ecosystem for nurturing innovation and startups.",Govt of India,2016-01-16
19,"The Production Linked Incentive (PLI) scheme aims to boost domestic manufacturing.",Govt of India,2020-04-01
20,"India's renewable energy capacity has crossed 180 GW.",MNRE,2024-01-01
21,"The Vande Bharat Express is India's first semi-high speed train.",Indian Railways,2019-02-15
22,"The Jal Jeevan Mission aims to provide safe and adequate drinking water through individual household tap connections by 2024.",Ministry of Jal Shakti,2019-08-15
23,"The PM Vishwakarma Scheme supports traditional artisans and craftspeople.",Govt of India,2023-09-17
24,"India's net direct tax collections grew by 17.7% in FY24.",CBDT,2024-03-17
25,"The e-Shram portal is a national database of unorganized workers.",Ministry of Labour,2021-08-26
26,"The PM GatiShakti National Master Plan aims for multi-modal connectivity.",Govt of India,2021-10-13
27,"The Agnipath Scheme is a tour of duty style scheme for recruitment of soldiers.",Ministry of Defence,2022-06-14
28,"India successfully hosted the G20 Summit in New Delhi in 2023.",MEA,2023-09-09
29,"The Chandrayaan-3 mission made India the first country to land on the lunar south pole.",ISRO,2023-08-23
30,"The Citizenship Amendment Act (CAA) 2019 aims to provide citizenship to persecuted minorities from neighboring countries.",Parliament of India,2019-12-11
